internalID,Resting potential,Resistance,RinSS,Time Constant,Rheobase,sagVrest,sag,sagRat,sagAmp,hump,humpRat,humpAmp,HypRectDelay,DepRectDelay,HypRectInsta,DepRectInsta,AP halfwidth,peakLP,thresLP,fTrghLP,sTrghLP,peakUpStrkLP,peakDwStrkLP,peakStrkRatLP,htTP_LP,lat,CurrentStepSP,thresholdSP,fastTroughSP,slowTroughSP,Amplitude,peakUpStrokeSP,peakDownStrokeSP,peakStrokeRatioSP,latencySP,widthTP_SP,peakSP,rheoRt,lastQuisc,Median instantanous frequency,DFR_P90,DFR_P10,DFR_IQR,AdaRatB1B2,AdaRatB1BLast,fIslope,Max Firing Rate,cvISI,HeroRt,HeroAmp,heroLat,peakAda,AdaIdx,burst,TrghDiff,TrghRatio,Temperature,iRa,BB,PyrID,cellID,Dendrite type,Cortical layer,ReporterTag,Cortical area,Weight,Sex,Age,Species,UMAP1,UMAP2,hasPlot,hasMorph,flagged
A24_MM_A1_C02,-60.31,134.4,102.9,12.60000038,290,-60.47,1.74,1.18,-110.0,1.55391171,1.070493266,249.9999925,0.67,0.61,0.79,0.66,0.26,19.56,-30.24,-56.12,-56.12,375.05,-285.28,-1.31,49.8,8.020000458,-30.00000119,-34.21020584,-57.98339973,-57.64770637,55.66406374,421.1283326,-318.8173175,-1.320907961,3.180000067,0.239999995,21.4538579,1,0.100000001,154.3200073,190.8399963,121.0699997,34.29000092,0.87,0.49,0.914,177,0.105,77,420,4.12,-0.003116654,0.001336435,0.055,-7.202148598,0.35575894,30.4,9.5,,0.0,3467347,Aspiny,3,,V1,0.37,M,P8.02Y,Callithrix jacchus,5.71213785438695,9.14879535375766,True,True,False
M04_FP_A1_C05_Goettingen_NPI_Cell05,-68.34,199.0,172.9,26.02,50,-71.08,1.71,1.18,-70.0,1.758010579,1.202327859,50.0,0.68,0.87,0.78,1.05,0.94,45.73,-44.77,-48.09,-63.34,371.59,-84.41,-4.4,90.5,77.87999725,-110.0,-41.00280762,-50.48339844,-49.91516113,83.74023438,366.4813572,-80.07191465,-4.576902636,3.0,0.88,42.73742676,1,1.48,15.7,34.3,9.91,7.3,0.48,0.2,0.051,19,0.571,12,330,8.74,-0.013248517,0.047591906,0.816764706,6.759033203,1.341165253,,,,,8854274,Spiny,2,,PFC,0.371,M,P18.06Y,Callithrix jacchus,5.70398740284197,9.38300353205365,True,True,False
M18_SP_A1_C04_Goettingen_HEKA_Cell04,-71.24,283.3,174.3,37.4,110,-70.33,2.09,1.15,-70.0,7.485819369,1.523393337,90.0,0.69,0.53,0.79,0.77,0.84,47.84,-46.32,-57.17,-63.38,653.36,-86.41,-7.56,94.16,17.44000053,70.0,-48.92803465,-62.20139602,-61.73511869,93.41089207,608.4857813,-97.22276586,-6.258675897,3.059999943,0.8,44.48285742,1,17.06,,,,,0.08,0.08,,3,,2,230,5.72,,,,4.69385847,1.328825153,,19.6,,,8251824,Spiny,2,,V1,0.456,M,P2.89Y,Callithrix jacchus,4.60743202448282,7.39727223624136,True,True,False
M08_SP_A1_C02_Goettingen_HEKA_Cell02,-68.78,379.6,322.5,36.22,30,-70.73,1.41,1.11,-50.0,0.59587618,1.054220302,20.0,0.53,1.43,0.58,1.89,1.06,48.8,-42.43,-46.47,-59.4,502.45,-76.15,-6.6,91.23,62.31999969,20.0,-44.0787504,-50.10927055,-49.86058931,89.80501404,482.2125378,-76.53471358,-6.30057284,3.140000105,1.02,45.72626364,1,7.98,11.94,45.17,5.52,7.56,0.33,0.19,0.048,12,0.546,7,170,12.62,-0.046566167,0.059537925,0.852666667,3.854559273,1.169578048,,21.6,,,9945879,Spiny,2,,PFC,0.403,M,P13.97Y,Callithrix jacchus,4.50386762825861,8.46027882121965,True,True,False
A25_MM_A1_C02,-65.81,220.1,175.6,19.15999985,70,-66.86,2.28,1.22,-90.0,,,,0.49,1.23,0.59,1.24,0.78,49.41,-31.25,-45.1,-51.67,455.56,-89.88,-5.07,80.66,84.59999847,,,,,,,,,,,,1,290.3999939,18.84000015,39.95999908,14.21000004,9.260000229,0.64,0.07,0.092,15,0.385,6,150,19.02,-0.037532941,0.085089587,0.625,7.293701335,1.502430052,32.7,15.0,,1.0,5349121,Spiny,3,,V1,0.4,M,P1.52Y,Callithrix jacchus,2.9609807153055,10.3778822314739,True,True,False
A10_MM_A1_C02,-69.36,243.0,152.7,41.25999832,150,-69.58,4.51,1.63,-50.0,9.168367718,1.533699667,110.0,0.56,0.69,0.88,0.97,0.72,39.0,-32.17,-43.91,-53.07,326.41,-101.85,-3.2,71.17,35.08000183,360.0,-44.58618264,-48.46191515,-47.91259873,90.05737506,448.3343661,-109.9817008,-4.076445108,3.079999924,0.699999988,45.47119242,1,,,,,,,,,1,,1,290,,,,,,,33.0,15.0,,1.0,7748799,Spiny,2_3,,V1,0.42,M,P3.23Y,Callithrix jacchus,,,True,True,False
A12_SA_A1_C02,-69.93,448.4,290.6,15.31999969,70,-73.5,13.67,1.6,-90.0,,,,0.58,,0.88,,0.32,42.36,-43.03,-59.88,-59.88,647.97,-290.19,-2.23,85.39,8.159999847,-110.0,-41.87011812,-62.10327287,-62.10327287,81.84814636,651.557982,-298.5425293,-2.182462858,2.420000076,0.299999982,39.97802824,34,1.860000014,44.04999924,73.36000061,23.39999962,29.17000008,0.75,1.0,,42,0.451000005,42,110,6.800000191,-0.007023263,-0.004967817,0.522000015,-12.78686552,0.516315729,32.3,11.6,,,6119309,Aspiny,2,,PFC,0.42,M,P3.39Y,Callithrix jacchus,2.71515707394109,9.31719689402385,True,True,False
M17_FP_A1_C02_Goettingen_NPI_Cell02,-74.33,191.9,163.3,29.08,110,-73.32,0.98,1.09,-70.0,,,,0.69,0.93,0.8,1.27,0.94,45.4,-42.38,-49.23,-61.85,322.05,-90.47,-3.56,87.78,74.55999756,-110.0,-45.13000488,-52.2479248,-51.58996582,88.28613281,326.2428786,-89.12435814,-3.660535519,3.200000048,0.94,43.15612793,1,7.84,19.15,98.51,11.51,7.62,0.37,0.21,0.046,24,0.609,14,450,7.56,-0.01147461,0.092217211,0.959714286,2.721557617,1.102922362,,,,,5356896,Spiny,,,PFC,0.395,M,P2.88Y,Callithrix jacchus,2.70941238950102,10.9009723167304,True,True,False
A13_MM_A5_C06,-72.65,221.9,161.9,59.59999847,110,-72.42,1.46,1.15,-70.0,1.877750693,1.129617228,69.99999657,0.55,0.93,0.65,1.05,0.8,46.97,-37.87,-46.33,-59.27,455.01,-89.43,-5.09,84.84,66.33999634,89.99999613,-49.22485462,-52.7038586,-51.81884881,89.72168169,434.1279864,-87.66137064,-4.952329439,3.24000001,0.839999974,40.49682708,1,838.6799927,24.29999924,55.45000076,20.59000015,16.55999947,0.2,0.02,0.007,5,0.42,3,420,10.5,,,,7.263183756,1.304650388,33.8,13.0,,1.0,5205007,Spiny,3,,PFC,0.35,F,P6.54Y,Callithrix jacchus,5.41752119970603,11.0007503550783,True,True,False
A25_MM_A1_C06,-76.57,303.6,219.4,21.65999985,35,-77.44,3.27,1.37,-50.0,,,,0.46,1.76,0.57,1.85,0.78,46.88,-44.4,-52.25,-60.3,510.29,-95.69,-5.33,91.28,68.72000122,170.0,-55.60302859,-55.51147585,-55.02319459,97.59521703,531.6312313,-118.4639931,-4.48770312,2.940000057,0.699999988,41.99218844,1,3.75999999,27.34000015,37.68000031,20.5,6.949999809,0.54,0.35,0.127,32,0.697,19,150,11.64,-0.007956446,0.05568748,0.642666667,9.704590061,1.565678312,33.9,12.0,,1.0,5707421,Spiny,3,,V1,0.4,M,P1.52Y,Callithrix jacchus,1.96259772574853,11.5146009660566,True,True,False
