cellID,updated_nwbs_path,dandi_path,dandi_filename,match_method
1002398,data\updated_nwbs\M19\1002398.nwb,001776\sub-M19G\sub-M19G_ses-20230118T110043_obj-1czinkz_icephys.nwb,sub-M19G_ses-20230118T110043_obj-1czinkz_icephys.nwb,size
1037668,data\updated_nwbs\A15\1037668.nwb,001776\sub-A15W\sub-A15W_ses-20211112T233608_icephys.nwb,sub-A15W_ses-20211112T233608_icephys.nwb,size
1038118,data\updated_nwbs\M16\1038118.nwb,001776\sub-M16W\sub-M16W_ses-20210204T152143_icephys.nwb,sub-M16W_ses-20210204T152143_icephys.nwb,size
1060735,data\updated_nwbs\M08\1060735.nwb,001776\sub-M08G\sub-M08G_ses-20220803T194545_icephys.nwb,sub-M08G_ses-20220803T194545_icephys.nwb,size
1078749,data\updated_nwbs\M17\1078749.nwb,001776\sub-M17G\sub-M17G_ses-20220425T185548_icephys.nwb,sub-M17G_ses-20220425T185548_icephys.nwb,size
1082683,data\updated_nwbs\M28\1082683.nwb,001776\sub-M28G\sub-M28G_ses-20250709T120135_obj-13w6hq7_icephys.nwb,sub-M28G_ses-20250709T120135_obj-13w6hq7_icephys.nwb,size
1104294,data\updated_nwbs\M24\1104294.nwb,001776\sub-M24G\sub-M24G_ses-20240917T145215_icephys.nwb,sub-M24G_ses-20240917T145215_icephys.nwb,size
1106790,data\updated_nwbs\M19\1106790.nwb,001776\sub-M19G\sub-M19G_ses-20230118T152713_icephys.nwb,sub-M19G_ses-20230118T152713_icephys.nwb,size
1111046,data\updated_nwbs\M20\1111046.nwb,001776\sub-M20G\sub-M20G_ses-20240123T140044_icephys.nwb,sub-M20G_ses-20240123T140044_icephys.nwb,size
1117919,data\updated_nwbs\A29\1117919.nwb,001776\sub-A29W\sub-A29W_ses-20230111T150048_icephys.nwb,sub-A29W_ses-20230111T150048_icephys.nwb,size
1145938,data\updated_nwbs\M03\1145938.nwb,001776\sub-M03G\sub-M03G_ses-20220126T130742_icephys.nwb,sub-M03G_ses-20220126T130742_icephys.nwb,size
1146852,data\updated_nwbs\A23\1146852.nwb,001776\sub-A23W\sub-A23W_ses-20220620T135145_icephys.nwb,sub-A23W_ses-20220620T135145_icephys.nwb,size
1172644,data\updated_nwbs\M15\1172644.nwb,001776\sub-M15G\sub-M15G_ses-20220419T184130_icephys.nwb,sub-M15G_ses-20220419T184130_icephys.nwb,size
1194066,data\updated_nwbs\A32\1194066.nwb,001776\sub-A32W\sub-A32W_ses-20230711T212021_icephys.nwb,sub-A32W_ses-20230711T212021_icephys.nwb,size
1195171,data\updated_nwbs\M25\1195171.nwb,001776\sub-M25G\sub-M25G_ses-20241024T175613_icephys.nwb,sub-M25G_ses-20241024T175613_icephys.nwb,size
1215721,data\updated_nwbs\M21\1215721.nwb,001776\sub-M21G\sub-M21G_ses-20240503T162230_icephys.nwb,sub-M21G_ses-20240503T162230_icephys.nwb,size
1219084,data\updated_nwbs\M22\1219084.nwb,001776\sub-M22G\sub-M22G_ses-20240416T174801_icephys.nwb,sub-M22G_ses-20240416T174801_icephys.nwb,size
1236528,data\updated_nwbs\M19\1236528.nwb,001776\sub-M19G\sub-M19G_ses-20230118T160713_icephys.nwb,sub-M19G_ses-20230118T160713_icephys.nwb,size
1240321,data\updated_nwbs\M17\1240321.nwb,001776\sub-M17W\sub-M17W_ses-20210226T205040_icephys.nwb,sub-M17W_ses-20210226T205040_icephys.nwb,size
1257712,data\updated_nwbs\M05\1257712.nwb,001776\sub-M05G\sub-M05G_ses-20220215T175052_icephys.nwb,sub-M05G_ses-20220215T175052_icephys.nwb,size
1269155,data\updated_nwbs\M19\1269155.nwb,001776\sub-M19G\sub-M19G_ses-20230118T170824_icephys.nwb,sub-M19G_ses-20230118T170824_icephys.nwb,size
1312798,data\updated_nwbs\M02\1312798.nwb,001776\sub-M02G\sub-M02G_ses-20220125T140118_obj-1fs6m3m_icephys.nwb,sub-M02G_ses-20220125T140118_obj-1fs6m3m_icephys.nwb,size
1348680,data\updated_nwbs\M17\1348680.nwb,001776\sub-M17G\sub-M17G_ses-20220425T171359_icephys.nwb,sub-M17G_ses-20220425T171359_icephys.nwb,size
1358566,data\updated_nwbs\A32\1358566.nwb,001776\sub-A32W\sub-A32W_ses-20230711T161733_icephys.nwb,sub-A32W_ses-20230711T161733_icephys.nwb,size
1375944,data\updated_nwbs\M21\1375944.nwb,001776\sub-M21G\sub-M21G_ses-20240305T105348_obj-1n16jgd_icephys.nwb,sub-M21G_ses-20240305T105348_obj-1n16jgd_icephys.nwb,size
1381480,data\updated_nwbs\M09\1381480.nwb,001776\sub-M09G\sub-M09G_ses-20220315T142927_obj-1sxqbk8_icephys.nwb,sub-M09G_ses-20220315T142927_obj-1sxqbk8_icephys.nwb,size
1388585,data\updated_nwbs\A23\1388585.nwb,001776\sub-A23W\sub-A23W_ses-20220620T171930_icephys.nwb,sub-A23W_ses-20220620T171930_icephys.nwb,size
1408186,data\updated_nwbs\M08\1408186.nwb,001776\sub-M08G\sub-M08G_ses-20220308T143942_obj-19ther8_icephys.nwb,sub-M08G_ses-20220308T143942_obj-19ther8_icephys.nwb,size
1417284,data\updated_nwbs\M28\1417284.nwb,001776\sub-M28G\sub-M28G_ses-20250709T120135_obj-1uwutrc_icephys.nwb,sub-M28G_ses-20250709T120135_obj-1uwutrc_icephys.nwb,size
1430858,data\updated_nwbs\A34\1430858.nwb,001776\sub-A34W\sub-A34W_ses-20230717T174432_icephys.nwb,sub-A34W_ses-20230717T174432_icephys.nwb,size
1441088,data\updated_nwbs\M26\1441088.nwb,001776\sub-M26G\sub-M26G_ses-20241128T141540_icephys.nwb,sub-M26G_ses-20241128T141540_icephys.nwb,size
1482476,data\updated_nwbs\A32\1482476.nwb,001776\sub-A32W\sub-A32W_ses-20230711T181135_icephys.nwb,sub-A32W_ses-20230711T181135_icephys.nwb,size
1508133,data\updated_nwbs\M05\1508133.nwb,001776\sub-M05G\sub-M05G_ses-20220215T195530_icephys.nwb,sub-M05G_ses-20220215T195530_icephys.nwb,size
1521230,data\updated_nwbs\M14\1521230.nwb,001776\sub-M14G\sub-M14G_ses-20220412T101008_obj-w9gp4d_icephys.nwb,sub-M14G_ses-20220412T101008_obj-w9gp4d_icephys.nwb,size
1521594,data\updated_nwbs\A32\1521594.nwb,001776\sub-A32W\sub-A32W_ses-20230711T145023_icephys.nwb,sub-A32W_ses-20230711T145023_icephys.nwb,size
1558326,data\updated_nwbs\M16\1558326.nwb,001776\sub-M16W\sub-M16W_ses-20210204T155013_icephys.nwb,sub-M16W_ses-20210204T155013_icephys.nwb,size
1569700,data\updated_nwbs\M13\1569700.nwb,001776\sub-M13G\sub-M13G_ses-20220405T105116_obj-7jczhi_icephys.nwb,sub-M13G_ses-20220405T105116_obj-7jczhi_icephys.nwb,size
1574233,data\updated_nwbs\A28\1574233.nwb,001776\sub-A28W\sub-A28W_ses-20221212T151028_icephys.nwb,sub-A28W_ses-20221212T151028_icephys.nwb,size
1629480,data\updated_nwbs\A35\1629480.nwb,001776\sub-A35W\sub-A35W_ses-20230803T164726_icephys.nwb,sub-A35W_ses-20230803T164726_icephys.nwb,size
1630172,data\updated_nwbs\M15\1630172.nwb,001776\sub-M15G\sub-M15G_ses-20220419T154408_icephys.nwb,sub-M15G_ses-20220419T154408_icephys.nwb,size
1630207,data\updated_nwbs\A24\1630207.nwb,001776\sub-A24W\sub-A24W_ses-20220629T183329_icephys.nwb,sub-A24W_ses-20220629T183329_icephys.nwb,size
1664422,data\updated_nwbs\M24\1664422.nwb,001776\sub-M24G\sub-M24G_ses-20240917T170949_icephys.nwb,sub-M24G_ses-20240917T170949_icephys.nwb,size
1676634,data\updated_nwbs\A35\1676634.nwb,001776\sub-A35W\sub-A35W_ses-20230803T224105_icephys.nwb,sub-A35W_ses-20230803T224105_icephys.nwb,size
