old_name,new_name,internalID,cellID,status
M02_SP_A1_C01.swc,1312798.swc,M02_SP_A1_C01_Goettingen_HEKA_Cell01,1312798,skip-collision
M02_SP_A1_C01_morph.png,1312798_morph.png,M02_SP_A1_C01_Goettingen_HEKA_Cell01,1312798,skip-collision
M02_SP_A1_C01_morph_thumb.png,1312798_morph_thumb.png,M02_SP_A1_C01_Goettingen_HEKA_Cell01,1312798,skip-collision
M02_SP_A1_C02.swc,3224863.swc,M02_SP_A1_C02_Goettingen_HEKA_Cell02,3224863,skip-collision
M02_SP_A1_C02_morph.png,3224863_morph.png,M02_SP_A1_C02_Goettingen_HEKA_Cell02,3224863,skip-collision
M02_SP_A1_C02_morph_thumb.png,3224863_morph_thumb.png,M02_SP_A1_C02_Goettingen_HEKA_Cell02,3224863,skip-collision
M03_FP_A1_C02_Goettingen_NPI_Cell02.swc,,,,skip-unmapped
M03_FP_A1_C02_Goettingen_NPI_Cell02_morph.png,,,,skip-unmapped
M03_FP_A1_C02_Goettingen_NPI_Cell02_morph_thumb.png,,,,skip-unmapped
M03_FP_A1_C04.swc,9256455.swc,M03_FP_A1_C04_Goettingen_NPI_Cell04,9256455,skip-collision
M03_FP_A1_C04_morph.png,9256455_morph.png,M03_FP_A1_C04_Goettingen_NPI_Cell04,9256455,skip-collision
M03_FP_A1_C04_morph_thumb.png,9256455_morph_thumb.png,M03_FP_A1_C04_Goettingen_NPI_Cell04,9256455,skip-collision
M04_FP_A1_C01_Goettingen_NPI_Cell01.swc,,,,skip-unmapped
M04_FP_A1_C01_Goettingen_NPI_Cell01_morph_thumb.png,,,,skip-unmapped
M04_SP_A1_C05.swc,6897177.swc,M04_SP_A1_C05_Goettingen_HEKA_Cell05,6897177,skip-collision
M04_SP_A1_C05_morph.png,6897177_morph.png,M04_SP_A1_C05_Goettingen_HEKA_Cell05,6897177,skip-collision
M04_SP_A1_C05_morph_thumb.png,6897177_morph_thumb.png,M04_SP_A1_C05_Goettingen_HEKA_Cell05,6897177,skip-collision
M05_SP_A1_C01.swc,2434052.swc,M05_SP_A1_C01_Goettingen_HEKA_Cell01,2434052,skip-collision
M05_SP_A1_C01_morph.png,2434052_morph.png,M05_SP_A1_C01_Goettingen_HEKA_Cell01,2434052,skip-collision
M05_SP_A1_C01_morph_thumb.png,2434052_morph_thumb.png,M05_SP_A1_C01_Goettingen_HEKA_Cell01,2434052,skip-collision
M05_SP_A1_C03.swc,7965332.swc,M05_SP_A1_C03_Goettingen_HEKA_Cell03,7965332,skip-collision
M05_SP_A1_C03_morph_thumb.png,7965332_morph_thumb.png,M05_SP_A1_C03_Goettingen_HEKA_Cell03,7965332,skip-collision
M07_FP_A1_C01.swc,9353976.swc,M07_FP_A1_C01_Goettingen_NPI_Cell01,9353976,skip-collision
M07_FP_A1_C01_morph.png,9353976_morph.png,M07_FP_A1_C01_Goettingen_NPI_Cell01,9353976,skip-collision
M07_FP_A1_C01_morph_thumb.png,9353976_morph_thumb.png,M07_FP_A1_C01_Goettingen_NPI_Cell01,9353976,skip-collision
M08_JR_A1_C02_Goettingen_NPI_Cell02.swc,,,,skip-unmapped
M08_JR_A1_C02_Goettingen_NPI_Cell02_morph.png,,,,skip-unmapped
M08_JR_A1_C02_Goettingen_NPI_Cell02_morph_thumb.png,,,,skip-unmapped
M08_JR_A1_C05.swc,3911070.swc,M08_JR_A1_C05_Goettingen_NPI_Cell05,3911070,skip-collision
M08_JR_A1_C05_morph.png,3911070_morph.png,M08_JR_A1_C05_Goettingen_NPI_Cell05,3911070,skip-collision
M08_JR_A1_C05_morph_thumb.png,3911070_morph_thumb.png,M08_JR_A1_C05_Goettingen_NPI_Cell05,3911070,skip-collision
M08_JR_A1_C08_morph.png,,,,skip-unmapped
M08_JR_A1_C08_morph_thumb.png,,,,skip-unmapped
M08_SP_A1_C01.swc,1408186.swc,M08_SP_A1_C01_Goettingen_HEKA_Cell01,1408186,skip-collision
M08_SP_A1_C01_morph.png,1408186_morph.png,M08_SP_A1_C01_Goettingen_HEKA_Cell01,1408186,skip-collision
M08_SP_A1_C01_morph_thumb.png,1408186_morph_thumb.png,M08_SP_A1_C01_Goettingen_HEKA_Cell01,1408186,skip-collision
M14_SP_A2_C02_Goettingen_HEKA_Cell02.swc,,,,skip-unmapped
M14_SP_A2_C02_Goettingen_HEKA_Cell02_morph_thumb.png,,,,skip-unmapped
M14_SP_A2_C02_morph.png,,,,skip-unmapped
M14_SP_A2_C02_morph_thumb.png,,,,skip-unmapped
M17_JR_A1_C01.swc,9461440.swc,M17_JR_A1_C01_Goettingen_NPI_Cell01,9461440,skip-collision
M17_JR_A1_C02.swc,2453109.swc,M17_JR_A1_C02_Goettingen_NPI_Cell02,2453109,skip-collision
M17_JR_A1_C02_morph_thumb.png,2453109_morph_thumb.png,M17_JR_A1_C02_Goettingen_NPI_Cell02,2453109,skip-collision
M17_SP_A2_C02_Goettingen_HEKA_Cell02.swc,,,,skip-unmapped
M17_SP_A2_C02_Goettingen_HEKA_Cell02_morph.png,,,,skip-unmapped
M17_SP_A2_C02_Goettingen_HEKA_Cell02_morph_thumb.png,,,,skip-unmapped
M17_SP_A2_C04_Goettingen_HEKA_Cell04.swc,,,,skip-unmapped
M17_SP_A2_C04_Goettingen_HEKA_Cell04_morph.png,,,,skip-unmapped
M17_SP_A2_C04_Goettingen_HEKA_Cell04_morph_thumb.png,,,,skip-unmapped
M18_FP_A1_C01.swc,6585369.swc,M18_FP_A1_C01_Goettingen_NPI_Cell01,6585369,skip-collision
M18_FP_A1_C01_morph.png,6585369_morph.png,M18_FP_A1_C01_Goettingen_NPI_Cell01,6585369,skip-collision
M18_FP_A1_C01_morph_thumb.png,6585369_morph_thumb.png,M18_FP_A1_C01_Goettingen_NPI_Cell01,6585369,skip-collision
M18_JR_A1_C07_morph.png,,,,skip-unmapped
M18_JR_A1_C07_morph_thumb.png,,,,skip-unmapped
M24_JR_A1_C06_Goettingen_NPI_Cell06.swc,,,,skip-unmapped
M24_JR_A1_C06_Goettingen_NPI_Cell06_morph.png,,,,skip-unmapped
M24_JR_A1_C06_Goettingen_NPI_Cell06_morph_thumb.png,,,,skip-unmapped
M24_VK_A1_C05_morph.png,,,,skip-unmapped
M24_VK_A1_C05_morph_thumb.png,,,,skip-unmapped
M26_FP_A1_C05_Goettingen_NPI_Cell05.swc,,,,skip-unmapped
M26_FP_A1_C05_Goettingen_NPI_Cell05_morph.png,,,,skip-unmapped
M26_FP_A1_C05_Goettingen_NPI_Cell05_morph_thumb.png,,,,skip-unmapped
M26_VK_A1_C02.swc,6981727.swc,M26_VK_A1_C02_Goettingen_NPI_Cell02,6981727,skip-collision
M26_VK_A1_C02_morph.png,6981727_morph.png,M26_VK_A1_C02_Goettingen_NPI_Cell02,6981727,skip-collision
M26_VK_A1_C02_morph_thumb.png,6981727_morph_thumb.png,M26_VK_A1_C02_Goettingen_NPI_Cell02,6981727,skip-collision
M26_VK_A1_C03_morph.png,,,,skip-unmapped
M26_VK_A1_C03_morph_thumb.png,,,,skip-unmapped
A09_SA_A1_C01.swc,8590892.swc,A09_SA_A1_C01,8590892,rename
A09_SA_A1_C01_morph.png,8590892_morph.png,A09_SA_A1_C01,8590892,rename
A09_SA_A1_C01_morph_thumb.png,8590892_morph_thumb.png,A09_SA_A1_C01,8590892,rename
A10_MM_A1_C02.swc,7748799.swc,A10_MM_A1_C02,7748799,rename
A10_MM_A1_C02_morph.png,7748799_morph.png,A10_MM_A1_C02,7748799,rename
A10_MM_A1_C02_morph_thumb.png,7748799_morph_thumb.png,A10_MM_A1_C02,7748799,rename
A11_MM_A1_C09.swc,2743813.swc,A11_MM_A1_C09,2743813,rename
A11_MM_A1_C09_morph.png,2743813_morph.png,A11_MM_A1_C09,2743813,rename
A11_MM_A1_C09_morph_thumb.png,2743813_morph_thumb.png,A11_MM_A1_C09,2743813,rename
A11_MM_A1_C14.swc,7146744.swc,A11_MM_A1_C14,7146744,rename
A11_MM_A1_C14_morph.png,7146744_morph.png,A11_MM_A1_C14,7146744,rename
A11_MM_A1_C14_morph_thumb.png,7146744_morph_thumb.png,A11_MM_A1_C14,7146744,rename
A11_SA_A1_C02.swc,8272043.swc,A11_MM_A1_C02,8272043,rename-fuzzy
A11_SA_A1_C02_morph.png,8272043_morph.png,A11_MM_A1_C02,8272043,rename-fuzzy
A11_SA_A1_C02_morph_thumb.png,8272043_morph_thumb.png,A11_MM_A1_C02,8272043,rename-fuzzy
A12_SA_A1_C02.swc,6119309.swc,A12_SA_A1_C02,6119309,rename
A12_SA_A1_C02_morph.png,6119309_morph.png,A12_SA_A1_C02,6119309,rename
A12_SA_A1_C02_morph_thumb.png,6119309_morph_thumb.png,A12_SA_A1_C02,6119309,rename
A13_MM_A1_C05.swc,1959201.swc,A13_MM_A4_C05,1959201,rename-fuzzy
A13_MM_A1_C05_morph.png,1959201_morph.png,A13_MM_A4_C05,1959201,rename-fuzzy
A13_MM_A1_C05_morph_thumb.png,1959201_morph_thumb.png,A13_MM_A4_C05,1959201,rename-fuzzy
A13_MM_A5_C06.swc,5205007.swc,A13_MM_A5_C06,5205007,rename
A13_MM_A5_C06_morph.png,5205007_morph.png,A13_MM_A5_C06,5205007,rename
A13_MM_A5_C06_morph_thumb.png,5205007_morph_thumb.png,A13_MM_A5_C06,5205007,rename
A19_MM_A1_C01.swc,8749915.swc,A19_MM_A1_C01,8749915,rename
A19_MM_A1_C01_morph.png,8749915_morph.png,A19_MM_A1_C01,8749915,rename
A19_MM_A1_C01_morph_thumb.png,8749915_morph_thumb.png,A19_MM_A1_C01,8749915,rename
A19_MM_A1_C08.swc,5854951.swc,A19_MM_A1_C08,5854951,rename
A19_MM_A1_C08_morph.png,5854951_morph.png,A19_MM_A1_C08,5854951,rename
A19_MM_A1_C08_morph_thumb.png,5854951_morph_thumb.png,A19_MM_A1_C08,5854951,rename
A19_MM_A5_C05.swc,3028495.swc,A19_MM_A1_C05,3028495,rename-fuzzy
A19_MM_A5_C05_morph.png,3028495_morph.png,A19_MM_A1_C05,3028495,rename-fuzzy
A19_MM_A5_C05_morph_thumb.png,3028495_morph_thumb.png,A19_MM_A1_C05,3028495,rename-fuzzy
A19_MM_B5_C11.swc,7839811.swc,A19_MM_A1_C11,7839811,rename-fuzzy
A19_MM_B5_C11_morph.png,7839811_morph.png,A19_MM_A1_C11,7839811,rename-fuzzy
A19_MM_B5_C11_morph_thumb.png,7839811_morph_thumb.png,A19_MM_A1_C11,7839811,rename-fuzzy
A21_MM_A3_C03.swc,9350585.swc,A21_MM_A1_C03,9350585,rename-fuzzy
A21_MM_A3_C03_morph.png,9350585_morph.png,A21_MM_A1_C03,9350585,rename-fuzzy
A21_MM_A3_C03_morph_thumb.png,9350585_morph_thumb.png,A21_MM_A1_C03,9350585,rename-fuzzy
A21_MM_A4_C04.swc,7678232.swc,A21_MM_A1_C04,7678232,rename-fuzzy
A21_MM_A4_C04_morph.png,7678232_morph.png,A21_MM_A1_C04,7678232,rename-fuzzy
A21_MM_A4_C04_morph_thumb.png,7678232_morph_thumb.png,A21_MM_A1_C04,7678232,rename-fuzzy
A23_MM_A1_C10.swc,9831599.swc,A23_MM_A1_C10,9831599,rename
A23_MM_A1_C10_morph.png,9831599_morph.png,A23_MM_A1_C10,9831599,rename
A23_MM_A1_C10_morph_thumb.png,9831599_morph_thumb.png,A23_MM_A1_C10,9831599,rename
